BT Addresses,Bluetooth Names,Manufacturers,RSSI,Tx Power,Bond State
C8:87:5A:7A:63:B1,E80 63B1,Tencent Holdings Limited.,-85,-127,10
60:46:7F:C0:83:D2,,Apple,-54,-127,10
8C:CE:FD:BA:CF:08,Mi Watch Lite_CF08,,-93,-127,10
C0:9D:68:95:3C:7B,,Apple,-74,-127,10
E5:39:46:D9:9D:0D,,Apple,-78,-127,10
F3:D3:E0:E8:FB:AE,,Apple,-89,-127,10
1E:A2:30:4A:3D:90,,,-94,-127,10
75:DB:88:C7:F5:3A,,Apple,-83,12,10
D7:3E:AC:8F:A3:6F,,Apple,-78,-127,10
6C:FD:6B:53:85:1C,,Apple,-86,8,10
6A:BC:BA:64:19:B4,,Apple,-95,11,10
49:32:AC:2A:76:C7,,Apple,-93,-127,10
45:8C:36:8A:9F:D3,,Apple,-78,-127,10
5A:0C:83:6A:0D:EF,,Apple,-78,12,10
FB:21:12:06:E0:C0,,Apple,-76,-127,10
6A:49:80:31:05:DD,,Apple,-77,12,10
D8:92:E8:C3:0C:82,,Apple,-82,-127,10
C7:68:73:F2:F1:0E,,Apple,-91,-127,10
6E:15:23:3F:D4:65,,Apple,-61,12,10
73:C6:CA:39:63:8F,,Apple,-73,12,10
68:5B:9C:D3:E9:C3,,Apple,-82,12,10
5D:53:BF:F6:21:2A,,Apple,-87,-127,10
6F:10:52:03:D9:97,,Apple,-80,12,10
C1:F9:F7:0A:5B:F7,,Apple,,-127,0
77:94:28:9F:29:F2,,,-67,-12,10
53:90:8D:42:51:AE,Jabra Elite 4,GN Netcom,-94,-8,10
5D:D1:A8:B9:68:E8,,Apple,-70,17,10
FF:D9:09:DD:08:53,,Apple,-88,-127,10
CD:33:CB:61:E3:F0,,Apple,-71,-127,10
C5:72:D9:78:45:14,,Apple,-77,-127,10
4B:F7:49:B1:59:6E,LE-Jano Bose,Bose Corporation,-94,-10,10
F0:94:D4:ED:F0:92,Buds2,Samsung Electronics,-87,-127,10
6E:D8:15:18:43:65,,Apple,-89,12,10
F5:A2:8A:A6:CC:5F,,Apple,,-127,0
